time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
49161600.00000000,151783526075.75152588,33863005033.43481445,0.00000000,-151783526075.75152588,-33863005033.43481445,0.00000000
49248000.00000000,151507004068.51568604,34780895007.47859955,0.00000000,-151507004068.51568604,-34780895007.47859955,0.00000000
49334400.00000000,151220430801.73468018,35696517916.47011566,0.00000000,-151220430801.73468018,-35696517916.47011566,0.00000000
49420800.00000000,150923811531.55673218,36609809901.80583954,0.00000000,-150923811531.55673218,-36609809901.80583954,0.00000000
49507200.00000000,150617151350.96728516,37520706885.81145477,0.00000000,-150617151350.96728516,-37520706885.81145477,0.00000000
49593600.00000000,150300455192.35217285,38429144559.43378448,0.00000000,-150300455192.35217285,-38429144559.43378448,0.00000000
49680000.00000000,149973727830.13012695,39335058369.85076141,0.00000000,-149973727830.13012695,-39335058369.85076141,0.00000000
49766400.00000000,149636973883.45727539,40238383507.99390411,0.00000000,-149636973883.45727539,-40238383507.99390411,0.00000000
49852800.00000000,149290197819.00622559,41139054895.97776031,0.00000000,-149290197819.00622559,-41139054895.97776031,0.00000000
49939200.00000000,148933403953.82254028,42037007174.43062592,0.00000000,-148933403953.82254028,-42037007174.43062592,0.00000000
50025600.00000000,148566596458.26150513,42932174689.72097778,0.00000000,-148566596458.26150513,-42932174689.72097778,0.00000000
50112000.00000000,148189779359.00836182,43824491481.07376099,0.00000000,-148189779359.00836182,-43824491481.07376099,0.00000000
50198400.00000000,147802956542.18502808,44713891267.57080841,0.00000000,-147802956542.18502808,-44713891267.57080841,0.00000000
50284800.00000000,147406131756.54678345,45600307435.02944183,0.00000000,-147406131756.54678345,-45600307435.02944183,0.00000000
50371200.00000000,146999308616.77239990,46483673022.75338745,0.00000000,-146999308616.77239990,-46483673022.75338745,0.00000000
50457600.00000000,146582490606.85125732,47363920710.14989471,0.00000000,-146582490606.85125732,-47363920710.14989471,0.00000000
50544000.00000000,146155681083.57147217,48240982803.20700073,0.00000000,-146155681083.57147217,-48240982803.20700073,0.00000000
50630400.00000000,145718883280.11279297,49114791220.82468414,0.00000000,-145718883280.11279297,-49114791220.82468414,0.00000000
50716800.00000000,145272100309.74862671,49985277480.99369812,0.00000000,-145272100309.74862671,-49985277480.99369812,0.00000000
50803200.00000000,144815335169.66134644,50852372686.81560516,0.00000000,-144815335169.66134644,-50852372686.81560516,0.00000000
50889600.00000000,144348590744.87551880,51716007512.35763550,0.00000000,-144348590744.87551880,-51716007512.35763550,0.00000000
50976000.00000000,143871869812.31381226,52576112188.33566284,0.00000000,-143871869812.31381226,-52576112188.33566284,0.00000000
51062400.00000000,143385175044.98037720,53432616487.61869812,0.00000000,-143385175044.98037720,-53432616487.61869812,0.00000000
51148800.00000000,142888509016.27694702,54285449710.54807281,0.00000000,-142888509016.27694702,-54285449710.54807281,0.00000000
51235200.00000000,142381874204.45697021,55134540670.06436157,0.00000000,-142381874204.45697021,-55134540670.06436157,0.00000000
51321600.00000000,141865272997.22335815,55979817676.63503265,0.00000000,-141865272997.22335815,-55979817676.63503265,0.00000000
51408000.00000000,141338707696.47579956,56821208522.97564697,0.00000000,-141338707696.47579956,-56821208522.97564697,0.00000000
51494400.00000000,140802180523.21340942,57658640468.55733490,0.00000000,-140802180523.21340942,-57658640468.55733490,0.00000000
51580800.00000000,140255693622.59942627,58492040223.89307404,0.00000000,-140255693622.59942627,-58492040223.89307404,0.00000000
51667200.00000000,139699249069.19418335,59321333934.59526825,0.00000000,-139699249069.19418335,-59321333934.59526825,0.00000000
51753600.00000000,139132848872.36370850,60146447165.19684601,0.00000000,-139132848872.36370850,-60146447165.19684601,0.00000000
51840000.00000000,138556494981.87060547,60967304882.72808838,0.00000000,-138556494981.87060547,-60967304882.72808838,0.00000000
